,DATE,STATE,TOTAL_DEATHS,NEW_DEATHS,RELATIVE_DEATHS
247,1600984800000,Colorado,2037,4,6.842835465731935e-07
248,1601071200000,Colorado,2040,3,5.132126599298952e-07
249,1601157600000,Colorado,2041,1,1.7107088664329838e-07
250,1601244000000,Colorado,2044,3,5.132126599298952e-07
251,1601330400000,Colorado,2046,2,3.4214177328659677e-07
252,1601416800000,Colorado,2051,5,8.55354433216492e-07
253,1601503200000,Colorado,2054,3,5.132126599298952e-07
254,1601589600000,Colorado,2057,3,5.132126599298952e-07
255,1601676000000,Colorado,2057,0,0.0
256,1601762400000,Colorado,2067,10,1.710708866432984e-06
257,1601848800000,Colorado,2069,2,3.4214177328659677e-07
258,1601935200000,Colorado,2081,12,2.052850639719581e-06
259,1602021600000,Colorado,2085,4,6.842835465731935e-07
260,1602108000000,Colorado,2095,10,1.710708866432984e-06
261,1602194400000,Colorado,2103,8,1.368567093146387e-06
262,1602280800000,Colorado,2112,9,1.5396379797896855e-06
263,1602367200000,Colorado,2113,1,1.7107088664329838e-07
264,1602453600000,Colorado,2116,3,5.132126599298952e-07
265,1602540000000,Colorado,2153,37,6.32962280580204e-06
266,1602626400000,Colorado,2160,7,1.1974962065030886e-06
267,1602712800000,Colorado,2162,2,3.4214177328659677e-07
268,1602799200000,Colorado,2172,10,1.710708866432984e-06
269,1602885600000,Colorado,2176,4,6.842835465731935e-07
270,1602972000000,Colorado,2176,0,0.0
271,1603058400000,Colorado,2180,4,6.842835465731935e-07
272,1603144800000,Colorado,2182,2,3.4214177328659677e-07
273,1603231200000,Colorado,2194,12,2.052850639719581e-06
274,1603317600000,Colorado,2198,4,6.842835465731935e-07
275,1603404000000,Colorado,2211,13,2.223921526362879e-06
276,1603490400000,Colorado,2218,7,1.1974962065030886e-06
277,1603576800000,Colorado,2223,5,8.55354433216492e-07
278,1603666800000,Colorado,2226,3,5.132126599298952e-07
279,1603753200000,Colorado,2236,10,1.710708866432984e-06
280,1603839600000,Colorado,2249,13,2.223921526362879e-06
281,1603926000000,Colorado,2268,19,3.2503468462226692e-06
